account_name,statement_type
Concessão de Serviço público (Ativo Contratual),BPA
Concessão de Serviço público (Ativo financeiro),BPA
Concessão do serviço publico(ativo do contrato),BPA
Concessão do serviço público (Ativo contratual),BPA
Concessão do serviço público (Ativo financeiro),BPA
Concessão do serviço público (ativo do contrato),BPA
Concessão do serviço público- ativo de contrato,BPA
Consignação,BPA
Construções em Andamento,BPA
Consumidores  e concessiónarias,BPA
Consumidores e Revendedores,BPA
Consumidores e Revendedores / RTE e CCEE,BPA
Consumidores e concessionárias,BPA
Consumidores e revendedores,BPA
Consórcio,BPA
Consórcios não contemplados (Nota 23.b),BPA
Conta Adiantamentos Fornecedores,BPA
Conta Corrente com Parceiros nos Empreendimentos,BPA
Conta corrente com partes relacionadas,BPA
Conta corrente de consórcio,BPA
Conta de ressarcimento,BPA
Conta vinculada,BPA
Contas,BPA
Contas Cor. Parceiros nos Empreendimentos,BPA
Contas Correntes com Parceiros nos Empreendimentos,BPA
Contas a Receber,BPA
Contas a Receber - Cessões,BPA
Contas a Receber - Líquidas,BPA
Contas a Receber - Partes Relacionadas,BPA
Contas a Receber - Revenda Empresas,BPA
Contas a Receber Funcionários,BPA
Contas a Receber Operacionais,BPA
Contas a Receber Operadoras de Cartão de Crédito,BPA
Contas a Receber Pela Venda de Controldas,BPA
Contas a Receber Pela venda de Controladas,BPA
Contas a Receber Recuperação Judicial,BPA
Contas a Receber Vinculadas à Concessão,BPA
Contas a Receber com Operações de Derivativos,BPA
Contas a Receber com Operações de Derivativos ,BPA
Contas a Receber com Partes Relacionadas,BPA
Contas a Receber com operações de Derivativos,BPA
Contas a Receber de Alienação de Participação Societária,BPA
Contas a Receber de Clientes,BPA
Contas a Receber de Clíentes,BPA
Contas a Receber de Partes Relacionadas,BPA
Contas a Receber de Terceiros,BPA
Contas a Receber de Venda de Controlada,BPA
Contas a Receber do Estado de Minas Gerais,BPA
Contas a Receber do Governo do Estado de Minas Gerais,BPA
Contas a Receber e Outros Recebíveis - Partes Relacionadas ,BPA
Contas a Receber e outros recebíveis,BPA
Contas a Receber por Alienação de Investimento,BPA
Contas a Receber por Alienação de Investimentos,BPA
Contas a Receber por Alienação de investimento,BPA
Contas a Receber ,BPA
Contas a receber,BPA
Contas a receber - Partes relacionadas,BPA
Contas a receber - bandeiras tarifárias,BPA
Contas a receber - partes relacionadas,BPA
Contas a receber FIDC,BPA
Contas a receber clientes,BPA
Contas a receber com alienação de entidades,BPA
Contas a receber com derivativos,BPA
Contas a receber com outras partes relacionadas,BPA
Contas a receber com partes relacionadas,BPA
Contas a receber da concessão,BPA
Contas a receber de  clientes,BPA
Contas a receber de Clientes,BPA
Contas a receber de acionistas - Plano de subscrição de ações,BPA
